epoch,loss
0,278.88238636398313
1,99.29573221206665
2,91.14629121398926
3,87.47849231719971
4,84.38926931762695
5,86.46406698226929
6,82.85896559524537
7,78.97020958328247
8,77.57183730316162
9,76.5199485244751
10,75.89922885131836
11,75.44295205307007
12,75.79823362159729
13,75.27519451904297
14,74.72976423454284
15,74.4408710899353
16,74.300869556427
17,74.04115108489991
18,73.96117129707336
19,74.26378786087037
20,74.1307297821045
21,73.66216333389282
22,78.84272415161132
23,74.24620111656189
24,73.88090294075012
25,73.75840168190003
26,73.59330401039124
27,73.4879164276123
28,73.69989065742493
29,73.51842860221863
30,73.34080213928223
31,72.72039425849914
32,72.85899960327149
33,72.56942757606507
34,72.89501979637146
35,72.72697596931458
36,72.70539839172363
37,72.72647486877442
38,72.62756958580017
39,72.7076164035797
40,72.6535368938446
41,72.7080823802948
42,72.5911000328064
43,72.68068787384033
44,72.62728567314149
45,72.63155873680115
46,72.61547607040406
47,72.5587275466919
48,72.70592622947693
49,72.6177910232544
50,72.56693605232239
51,72.62043072319031
52,72.59720252609253
53,72.59105309295654
54,72.58332855033875
55,72.59429965019226
56,72.48244612312317
57,72.60481096076965
58,72.46490026283264
59,72.67364277076722
60,72.56175820922851
61,72.36239820861816
62,72.63044918632508
63,72.55357073974609
64,72.45087858581543
65,72.46495406532287
66,72.56827521705627
67,72.46924203109741
68,72.46464611625672
69,72.50724662208557
70,72.4576176071167
71,72.55243991851806
72,72.49551609039307
73,72.3493914680481
74,72.60882505989075
75,72.48594961929321
76,72.34896155166626
77,72.46756761169434
78,72.50715488433838
79,72.44770493888855
80,72.52892988777161
81,72.49345421218872
82,72.43986553001403
83,72.41791810798645
84,72.50431987953186
85,72.39742730140686
86,72.51680184173584
87,72.30940478897095
88,72.57763928604126
89,72.37654780387878
90,72.52433281326294
91,72.36943761444091
92,72.44038725662232
93,72.49986227989197
94,72.44351630592347
95,72.48577732849121
96,72.37289630126953
97,72.39668811225891
98,72.4115354232788
99,72.47443007278443
100,72.46764618110657
101,72.47943159675599
102,72.4332133026123
103,72.38938017082215
104,72.41402702522278
105,72.38461211967469
106,72.3866022567749
107,72.39150849151612
108,72.3957443447113
109,72.42988577079772
110,72.49750911903381
111,72.4067559223175
112,72.32407028770447
113,72.40189458274841
114,72.47584324645996
115,72.2906401386261
116,72.3718205947876
117,72.54026437950134
118,72.37117747879029
119,72.43533913040162
120,72.3174964427948
121,72.36290134811401
122,72.3380431137085
123,72.4211037387848
124,72.39596153259278
125,72.3645011100769
126,72.39657748413086
127,72.36470407295226
128,72.49393732070922
129,72.2913349494934
130,72.46660768318176
131,72.42023977661133
132,72.3151157245636
133,72.41105003356934
134,72.31528410720826
135,72.38192994117736
136,72.40363870429992
137,72.36877795219421
138,72.30497229385377
139,72.38268978691102
140,72.37481126022338
141,72.3447469406128
142,72.31978733444214
143,72.36890623855591
144,72.34818852233887
145,72.43978331947326
146,72.24440929794312
147,72.43752395820617
148,72.32229430770875
149,72.37167508888244
